company_name,role,skills_required,salary_package,domain
CyberEdge,Web Developer Intern,"JavaScript, React, HTML",42k INR/month,Web Development
CloudWorks,Blockchain Developer Intern,"Solidity, Smart Contracts, Ethereum",36k INR/month,Blockchain
VisionTech,Cloud Engineer Intern,"AWS, Azure, Kubernetes",29k INR/month,Cloud Computing
AI Labs,Data Analyst Intern,"Excel, SQL, Data Visualization",16k INR/month,Data Science
BlockChainX,Blockchain Developer Intern,"Smart Contracts, Ethereum, Cryptography",15k INR/month,Blockchain
NetSecure,Web Developer Intern,"HTML, React, JavaScript",24k INR/month,Web Development
Webify Solutions,DevOps Intern,"Linux, CI/CD, Kubernetes",25k INR/month,DevOps
CyberEdge,Computer Vision Intern,"Image Processing, Python, Deep Learning",43k INR/month,Computer Vision
IoT Systems,Cybersecurity Intern,"Networking, Linux, Penetration Testing",44k INR/month,Cybersecurity
IoT Systems,IoT Developer Intern,"C++, Arduino, Raspberry Pi",47k INR/month,Internet of Things
DataSphere,Cybersecurity Intern,"Networking, Penetration Testing, Linux",38k INR/month,Cybersecurity
IoT Systems,Cloud Engineer Intern,"AWS, Azure, Docker",25k INR/month,Cloud Computing
VisionTech,Cybersecurity Intern,"Firewalls, Penetration Testing, Linux",28k INR/month,Cybersecurity
DataSphere,Computer Vision Intern,"Python, Deep Learning, OpenCV",26k INR/month,Computer Vision
DataSphere,Software Engineering Intern,"OOP, Agile, C++",12k INR/month,Software Engineering
IoT Systems,Software Engineering Intern,"Java, OOP, Agile",40k INR/month,Software Engineering
DataSphere,AI Research Intern,"Machine Learning, PyTorch, Python",49k INR/month,Artificial Intelligence
BlockChainX,Network Engineer Intern,"Linux, Wireshark, Networking Protocols",41k INR/month,Networking
DataSphere,Cloud Engineer Intern,"Kubernetes, AWS, Azure",48k INR/month,Cloud Computing
VisionTech,Software Engineering Intern,"Java, OOP, C++",16k INR/month,Software Engineering
CloudWorks,Cloud Engineer Intern,"AWS, Docker, Azure",31k INR/month,Cloud Computing
CyberEdge,DevOps Intern,"Linux, CI/CD, Docker",34k INR/month,DevOps
NetSecure,Computer Vision Intern,"Python, Image Processing, OpenCV",24k INR/month,Computer Vision
TechNova,Computer Vision Intern,"Image Processing, OpenCV, Python",28k INR/month,Computer Vision
IoT Systems,Computer Vision Intern,"Image Processing, OpenCV, Deep Learning",42k INR/month,Computer Vision
DataSphere,Computer Vision Intern,"Image Processing, Python, Deep Learning",20k INR/month,Computer Vision
IoT Systems,Cybersecurity Intern,"Linux, Firewalls, Penetration Testing",14k INR/month,Cybersecurity
BlockChainX,Blockchain Developer Intern,"Cryptography, Smart Contracts, Solidity",21k INR/month,Blockchain
CyberEdge,Cloud Engineer Intern,"Docker, Azure, Kubernetes",46k INR/month,Cloud Computing
DataSphere,Computer Vision Intern,"Image Processing, OpenCV, Python",35k INR/month,Computer Vision
CyberEdge,Data Analyst Intern,"SQL, Python, Data Visualization",47k INR/month,Data Science
VisionTech,IoT Developer Intern,"Arduino, Embedded Systems, C++",27k INR/month,Internet of Things
VisionTech,Cybersecurity Intern,"Networking, Penetration Testing, Linux",38k INR/month,Cybersecurity
CloudWorks,Cybersecurity Intern,"Penetration Testing, Networking, Linux",32k INR/month,Cybersecurity
TechNova,Blockchain Developer Intern,"Solidity, Smart Contracts, Cryptography",31k INR/month,Blockchain
CloudWorks,Software Engineering Intern,"Agile, C++, OOP",15k INR/month,Software Engineering
TechNova,Blockchain Developer Intern,"Solidity, Smart Contracts, Cryptography",24k INR/month,Blockchain
VisionTech,Blockchain Developer Intern,"Smart Contracts, Cryptography, Solidity",39k INR/month,Blockchain
VisionTech,Cloud Engineer Intern,"AWS, Docker, Azure",29k INR/month,Cloud Computing
DataSphere,DevOps Intern,"Linux, CI/CD, Kubernetes",13k INR/month,DevOps
AI Labs,AI Research Intern,"Python, TensorFlow, Machine Learning",33k INR/month,Artificial Intelligence
TechNova,IoT Developer Intern,"C++, Arduino, Embedded Systems",12k INR/month,Internet of Things
AI Labs,Cybersecurity Intern,"Penetration Testing, Networking, Firewalls",35k INR/month,Cybersecurity
NetSecure,Web Developer Intern,"JavaScript, React, HTML",11k INR/month,Web Development
CyberEdge,Web Developer Intern,"JavaScript, React, CSS",40k INR/month,Web Development
AI Labs,Computer Vision Intern,"Image Processing, OpenCV, Deep Learning",18k INR/month,Computer Vision
Webify Solutions,IoT Developer Intern,"Raspberry Pi, Arduino, Embedded Systems",10k INR/month,Internet of Things
NetSecure,AI Research Intern,"TensorFlow, PyTorch, Machine Learning",22k INR/month,Artificial Intelligence
AI Labs,Web Developer Intern,"React, HTML, JavaScript",11k INR/month,Web Development
DataSphere,Data Analyst Intern,"Excel, Data Visualization, SQL",46k INR/month,Data Science
DataSphere,Cloud Engineer Intern,"Docker, AWS, Azure",36k INR/month,Cloud Computing
BlockChainX,AI Research Intern,"Machine Learning, Python, TensorFlow",20k INR/month,Artificial Intelligence
NetSecure,Data Analyst Intern,"Excel, SQL, Python",12k INR/month,Data Science
VisionTech,Software Engineering Intern,"C++, Java, OOP",14k INR/month,Software Engineering
TechNova,Computer Vision Intern,"Python, OpenCV, Image Processing",19k INR/month,Computer Vision
AI Labs,Computer Vision Intern,"OpenCV, Deep Learning, Python",47k INR/month,Computer Vision
DataSphere,Network Engineer Intern,"Linux, Wireshark, Networking Protocols",12k INR/month,Networking
DataSphere,Computer Vision Intern,"Deep Learning, Image Processing, OpenCV",11k INR/month,Computer Vision
IoT Systems,Cloud Engineer Intern,"Docker, Azure, AWS",34k INR/month,Cloud Computing
VisionTech,Data Analyst Intern,"Python, Data Visualization, SQL",41k INR/month,Data Science
Webify Solutions,Cybersecurity Intern,"Firewalls, Linux, Penetration Testing",15k INR/month,Cybersecurity
Webify Solutions,Cybersecurity Intern,"Penetration Testing, Firewalls, Networking",45k INR/month,Cybersecurity
NetSecure,DevOps Intern,"CI/CD, Docker, Linux",31k INR/month,DevOps
VisionTech,Cloud Engineer Intern,"Kubernetes, Docker, Azure",32k INR/month,Cloud Computing
CloudWorks,Cybersecurity Intern,"Linux, Networking, Penetration Testing",16k INR/month,Cybersecurity
CloudWorks,Network Engineer Intern,"Networking Protocols, Linux, Cisco",24k INR/month,Networking
VisionTech,Web Developer Intern,"React, CSS, JavaScript",15k INR/month,Web Development
VisionTech,Network Engineer Intern,"Linux, Cisco, Wireshark",35k INR/month,Networking
TechNova,DevOps Intern,"Docker, Kubernetes, CI/CD",44k INR/month,DevOps
TechNova,Data Analyst Intern,"Excel, SQL, Python",42k INR/month,Data Science
AI Labs,Cybersecurity Intern,"Penetration Testing, Firewalls, Networking",10k INR/month,Cybersecurity
BlockChainX,Software Engineering Intern,"Java, C++, OOP",36k INR/month,Software Engineering
DataSphere,Computer Vision Intern,"Image Processing, Deep Learning, Python",27k INR/month,Computer Vision
IoT Systems,AI Research Intern,"Python, TensorFlow, Machine Learning",13k INR/month,Artificial Intelligence
AI Labs,Data Analyst Intern,"SQL, Python, Excel",16k INR/month,Data Science
CloudWorks,Data Analyst Intern,"Python, Data Visualization, SQL",22k INR/month,Data Science
NetSecure,Data Analyst Intern,"Python, Excel, Data Visualization",17k INR/month,Data Science
VisionTech,Network Engineer Intern,"Networking Protocols, Cisco, Wireshark",17k INR/month,Networking
TechNova,Software Engineering Intern,"OOP, Agile, C++",49k INR/month,Software Engineering
DataSphere,AI Research Intern,"Machine Learning, TensorFlow, Python",38k INR/month,Artificial Intelligence
CyberEdge,Computer Vision Intern,"Image Processing, Python, Deep Learning",32k INR/month,Computer Vision
DataSphere,IoT Developer Intern,"Raspberry Pi, Embedded Systems, Arduino",42k INR/month,Internet of Things
VisionTech,Network Engineer Intern,"Cisco, Wireshark, Linux",26k INR/month,Networking
CloudWorks,Blockchain Developer Intern,"Smart Contracts, Ethereum, Cryptography",15k INR/month,Blockchain
Webify Solutions,Software Engineering Intern,"Agile, OOP, Java",12k INR/month,Software Engineering
VisionTech,Software Engineering Intern,"Agile, C++, OOP",44k INR/month,Software Engineering
AI Labs,Cloud Engineer Intern,"AWS, Docker, Kubernetes",12k INR/month,Cloud Computing
TechNova,Network Engineer Intern,"Wireshark, Networking Protocols, Linux",14k INR/month,Networking
TechNova,Data Analyst Intern,"SQL, Excel, Python",28k INR/month,Data Science
BlockChainX,IoT Developer Intern,"Embedded Systems, Arduino, Raspberry Pi",14k INR/month,Internet of Things
NetSecure,IoT Developer Intern,"Arduino, Raspberry Pi, Embedded Systems",29k INR/month,Internet of Things
TechNova,Cloud Engineer Intern,"AWS, Azure, Kubernetes",12k INR/month,Cloud Computing
AI Labs,Computer Vision Intern,"Deep Learning, Image Processing, Python",45k INR/month,Computer Vision
AI Labs,DevOps Intern,"CI/CD, Linux, Kubernetes",13k INR/month,DevOps
NetSecure,Web Developer Intern,"CSS, React, JavaScript",47k INR/month,Web Development
BlockChainX,Cloud Engineer Intern,"Docker, Azure, AWS",38k INR/month,Cloud Computing
BlockChainX,Network Engineer Intern,"Wireshark, Networking Protocols, Cisco",45k INR/month,Networking
IoT Systems,Software Engineering Intern,"Java, C++, OOP",21k INR/month,Software Engineering
AI Labs,Web Developer Intern,"React, JavaScript, HTML",46k INR/month,Web Development
AI Labs,Network Engineer Intern,"Networking Protocols, Wireshark, Cisco",12k INR/month,Networking
IoT Systems,AI Research Intern,"TensorFlow, PyTorch, Machine Learning",41k INR/month,Artificial Intelligence
VisionTech,Blockchain Developer Intern,"Smart Contracts, Ethereum, Cryptography",15k INR/month,Blockchain
CyberEdge,Cloud Engineer Intern,"AWS, Kubernetes, Docker",36k INR/month,Cloud Computing
Webify Solutions,IoT Developer Intern,"Raspberry Pi, Embedded Systems, Arduino",13k INR/month,Internet of Things
AI Labs,Blockchain Developer Intern,"Ethereum, Solidity, Smart Contracts",33k INR/month,Blockchain
VisionTech,Software Engineering Intern,"C++, Agile, OOP",40k INR/month,Software Engineering
NetSecure,Computer Vision Intern,"Python, Deep Learning, Image Processing",33k INR/month,Computer Vision
TechNova,Software Engineering Intern,"Java, OOP, Agile",11k INR/month,Software Engineering
BlockChainX,IoT Developer Intern,"C++, Arduino, Embedded Systems",13k INR/month,Internet of Things
VisionTech,Cloud Engineer Intern,"AWS, Docker, Azure",46k INR/month,Cloud Computing
Webify Solutions,AI Research Intern,"Machine Learning, Python, PyTorch",50k INR/month,Artificial Intelligence
NetSecure,Software Engineering Intern,"Agile, Java, C++",20k INR/month,Software Engineering
CyberEdge,Cybersecurity Intern,"Linux, Penetration Testing, Firewalls",40k INR/month,Cybersecurity
TechNova,AI Research Intern,"PyTorch, TensorFlow, Python",12k INR/month,Artificial Intelligence
CyberEdge,Blockchain Developer Intern,"Smart Contracts, Ethereum, Cryptography",20k INR/month,Blockchain
AI Labs,IoT Developer Intern,"C++, Embedded Systems, Arduino",45k INR/month,Internet of Things
BlockChainX,Computer Vision Intern,"Deep Learning, OpenCV, Image Processing",47k INR/month,Computer Vision
DataSphere,Data Analyst Intern,"Python, Excel, SQL",40k INR/month,Data Science
CyberEdge,Cybersecurity Intern,"Penetration Testing, Firewalls, Networking",11k INR/month,Cybersecurity
CyberEdge,Computer Vision Intern,"Deep Learning, OpenCV, Python",18k INR/month,Computer Vision
IoT Systems,AI Research Intern,"PyTorch, TensorFlow, Machine Learning",12k INR/month,Artificial Intelligence
NetSecure,AI Research Intern,"TensorFlow, Python, PyTorch",16k INR/month,Artificial Intelligence
VisionTech,Data Analyst Intern,"Python, Excel, SQL",20k INR/month,Data Science
IoT Systems,Web Developer Intern,"React, HTML, JavaScript",17k INR/month,Web Development
TechNova,Cybersecurity Intern,"Linux, Penetration Testing, Firewalls",34k INR/month,Cybersecurity
BlockChainX,Web Developer Intern,"CSS, JavaScript, HTML",19k INR/month,Web Development
Webify Solutions,Web Developer Intern,"React, CSS, HTML",10k INR/month,Web Development
IoT Systems,Data Analyst Intern,"Data Visualization, Excel, SQL",41k INR/month,Data Science
Webify Solutions,Software Engineering Intern,"Java, Agile, C++",13k INR/month,Software Engineering
CloudWorks,Cybersecurity Intern,"Networking, Linux, Firewalls",45k INR/month,Cybersecurity
CloudWorks,Software Engineering Intern,"Java, C++, OOP",22k INR/month,Software Engineering
VisionTech,Data Analyst Intern,"Python, Data Visualization, SQL",40k INR/month,Data Science
TechNova,AI Research Intern,"TensorFlow, Machine Learning, Python",10k INR/month,Artificial Intelligence
NetSecure,Cloud Engineer Intern,"AWS, Azure, Docker",14k INR/month,Cloud Computing
BlockChainX,Network Engineer Intern,"Wireshark, Networking Protocols, Linux",30k INR/month,Networking
AI Labs,Software Engineering Intern,"OOP, Java, Agile",33k INR/month,Software Engineering
CyberEdge,Network Engineer Intern,"Linux, Cisco, Networking Protocols",50k INR/month,Networking
DataSphere,DevOps Intern,"Docker, CI/CD, Kubernetes",17k INR/month,DevOps
CyberEdge,Blockchain Developer Intern,"Solidity, Cryptography, Ethereum",36k INR/month,Blockchain
AI Labs,Software Engineering Intern,"Java, Agile, C++",37k INR/month,Software Engineering
VisionTech,Network Engineer Intern,"Networking Protocols, Linux, Wireshark",11k INR/month,Networking
AI Labs,Data Analyst Intern,"Excel, SQL, Data Visualization",42k INR/month,Data Science
BlockChainX,AI Research Intern,"Python, PyTorch, Machine Learning",45k INR/month,Artificial Intelligence
CloudWorks,Blockchain Developer Intern,"Ethereum, Solidity, Cryptography",39k INR/month,Blockchain
AI Labs,Network Engineer Intern,"Networking Protocols, Wireshark, Cisco",49k INR/month,Networking
IoT Systems,Software Engineering Intern,"Java, OOP, C++",45k INR/month,Software Engineering
